"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS","RT_UNIQUE","GEOMETRY_WKT"
"District 08","Adair","08-04325.00","KY","1702","KY-1702","SAF-GUARDRAIL(P)","1.92","2.19","INSTALL GUARDRAIL ON KY-1702 IN ADAIR COUNTY","","2020","2026","C","GR","58000","2026","","","","001-KY-1702-000","LINESTRING Z (-85.4589044506 37.121541161 1.92, -85.4593047693 37.1214863186 1.943, -85.4597158204 37.1214444978 1.966, -85.4599099889 37.1214334458 1.976, -85.4601065077 37.1214355829 1.987, -85.460303683 37.1214451361 1.998, -85.4605039128 37.121463212 2.009, -85.4607020721 37.1214845774 2.02, -85.4610897605 37.1215415672 2.042, -85.4612714047 37.1215763484 2.052, -85.4614389421 37.1216229038 2.062, -85.4615926752 37.1216913978 2.072, -85.4617284819 37.1217837408 2.082, -85.4618487664 37.1218991165 2.092, -85.4619545894 37.1220290123 2.103, -85.4620449409 37.1221687565 2.114, -85.4621211869 37.1223200021 2.125, -85.4621751142 37.1224775084 2.136, -85.4622029677 37.1226371489 2.147, -85.4622167672 37.1227942811 2.158, -85.4622309964 37.123107141 2.18, -85.4622477349 37.1232562775 2.19)"
"District 08","Adair","08-10047.00","KY","80","KY-80","AM-BRIDGE (P)","21.384","21.406","BRIDGE PROJECT IN ADAIR COUNTY ON (001B00013N) KY-80 AT RUSSELL CREEK (2026CCR)","001B00013N","2022","2026","C","BRX","2361352","2031","","","","001-KY-0080-000","LINESTRING Z (-85.1584762616 37.0762439142 21.384, -85.1580889412 37.0761873987 21.406)"
"District 08","Adair","08-10047.00","KY","80","KY-80","AM-BRIDGE (P)","21.384","21.406","BRIDGE PROJECT IN ADAIR COUNTY ON (001B00013N) KY-80 AT RUSSELL CREEK (2026CCR)","001B00013N","2022","2026","D","BRX","354203","2031","","","","001-KY-0080-000","LINESTRING Z (-85.1584762616 37.0762439142 21.384, -85.1580889412 37.0761873987 21.406)"
"District 08","Adair","08-22207.00","LN","9008","LN-9008","AM-PAVEMENT (PKY)(P)","43.02","48.15","ADDRESS CONDITION OF Louie B. Nunn Cumberland Parkway FROM MILEPOINT 43.02 TO MILEPOINT 48.15","","2022","2026","D","NHPM","200000","2027","","","","001-LN-9008-000","LINESTRING Z (-85.4045589451 37.0727993026 43.02, -85.4043468397 37.0728379754 43.032, -85.403991479 37.0728954198 43.052, -85.4032739933 37.0729899624 43.093, -85.402553182 37.0730622439 43.133, -85.4018293715 37.0731158362 43.173, -85.4014662951 37.0731364474 43.193, -85.4011025665 37.0731499141 43.213, -85.4003772333 37.0731622959 43.253, -85.3996505894 37.0731617593 43.293, -85.3985873905 37.0731538876 43.352, -85.3979022016 37.0731573111 43.39, -85.396863656 37.0731549904 43.448, -85.3905162676 37.0731243105 43.798, -85.3855652146 37.0731067262 44.072, -85.3845191664 37.0730968569 44.13, -85.3841284402 37.0730931582 44.152, -85.3826892 37.0730932964 44.231, -85.3816122942 37.0730852266 44.291, -85.3801950052 37.0730823822 44.369, -85.3791496439 37.073072192 44.427, -85.3764497718 37.0730657613 44.576, -85.3757865643 37.0730600613 44.613, -85.3741413271 37.0730599821 44.704, -85.3718192307 37.0730425776 44.832, -85.3711415815 37.0730458682 44.87, -85.37011849 37.0730378659 44.926, -85.3690857611 37.0730377891 44.983, -85.3680390247 37.0730288679 45.041, -85.367337387 37.0730312331 45.08, -85.3659187797 37.0730183239 45.158, -85.3648527897 37.0730208461 45.217, -85.3630945195 37.0730059551 45.315, -85.3620607636 37.0730055368 45.372, -85.3613793997 37.0729980469 45.409, -85.3596909959 37.0729940488 45.503, -85.3562953959 37.0729749296 45.691, -85.355606105 37.0729758926 45.729, -85.352427799 37.0729595932 45.904, -85.3517069747 37.0729604266 45.944, -85.3506228727 37.072952869 46.004, -85.3461592196 37.0729377507 46.251, -85.3436530225 37.0729290334 46.389, -85.3421449599 37.072916072 46.472, -85.3406334227 37.0729115925 46.556, -85.3402601367 37.0729157728 46.577, -85.3395182804 37.0729392521 46.618, -85.3387746036 37.0729819465 46.659, -85.3380342409 37.0730452454 46.7, -85.3376645337 37.0730837612 46.721, -85.3372958264 37.073127772 46.741, -85.3369291359 37.0731786554 46.762, -85.3365641256 37.0732355861 46.782, -85.3358398267 37.07336814 46.823, -85.3354843177 37.0734421288 46.844, -85.3347759639 37.073603571 46.884, -85.3340764035 37.0737859139 46.925, -85.3337859548 37.0738705671 46.942, -85.3330429266 37.0741021843 46.986, -85.3327022644 37.0742168661 47.006, -85.3323656746 37.0743389776 47.027, -85.3316982415 37.0745966749 47.068, -85.3314728695 37.0746892456 47.082, -85.3307159245 37.0750158277 47.129, -85.3300766625 37.075321132 47.17, -85.3275418412 37.0766033654 47.336, -85.3247407374 37.0780405734 47.52, -85.3231597685 37.0788318233 47.623, -85.32194719 37.0794563198 47.703, -85.3192498062 37.0808223691 47.879, -85.3180677548 37.0814323826 47.957, -85.316290956 37.082332948 48.073, -85.3151174272 37.082935409 48.15)"
"District 08","Adair","08-22207.00","LN","9008","LN-9008","AM-PAVEMENT (PKY)(P)","43.02","48.15","ADDRESS CONDITION OF Louie B. Nunn Cumberland Parkway FROM MILEPOINT 43.02 TO MILEPOINT 48.15","","2022","2026","C","NHPM","2000000","2027","","","","001-LN-9008-000","LINESTRING Z (-85.4045589451 37.0727993026 43.02, -85.4043468397 37.0728379754 43.032, -85.403991479 37.0728954198 43.052, -85.4032739933 37.0729899624 43.093, -85.402553182 37.0730622439 43.133, -85.4018293715 37.0731158362 43.173, -85.4014662951 37.0731364474 43.193, -85.4011025665 37.0731499141 43.213, -85.4003772333 37.0731622959 43.253, -85.3996505894 37.0731617593 43.293, -85.3985873905 37.0731538876 43.352, -85.3979022016 37.0731573111 43.39, -85.396863656 37.0731549904 43.448, -85.3905162676 37.0731243105 43.798, -85.3855652146 37.0731067262 44.072, -85.3845191664 37.0730968569 44.13, -85.3841284402 37.0730931582 44.152, -85.3826892 37.0730932964 44.231, -85.3816122942 37.0730852266 44.291, -85.3801950052 37.0730823822 44.369, -85.3791496439 37.073072192 44.427, -85.3764497718 37.0730657613 44.576, -85.3757865643 37.0730600613 44.613, -85.3741413271 37.0730599821 44.704, -85.3718192307 37.0730425776 44.832, -85.3711415815 37.0730458682 44.87, -85.37011849 37.0730378659 44.926, -85.3690857611 37.0730377891 44.983, -85.3680390247 37.0730288679 45.041, -85.367337387 37.0730312331 45.08, -85.3659187797 37.0730183239 45.158, -85.3648527897 37.0730208461 45.217, -85.3630945195 37.0730059551 45.315, -85.3620607636 37.0730055368 45.372, -85.3613793997 37.0729980469 45.409, -85.3596909959 37.0729940488 45.503, -85.3562953959 37.0729749296 45.691, -85.355606105 37.0729758926 45.729, -85.352427799 37.0729595932 45.904, -85.3517069747 37.0729604266 45.944, -85.3506228727 37.072952869 46.004, -85.3461592196 37.0729377507 46.251, -85.3436530225 37.0729290334 46.389, -85.3421449599 37.072916072 46.472, -85.3406334227 37.0729115925 46.556, -85.3402601367 37.0729157728 46.577, -85.3395182804 37.0729392521 46.618, -85.3387746036 37.0729819465 46.659, -85.3380342409 37.0730452454 46.7, -85.3376645337 37.0730837612 46.721, -85.3372958264 37.073127772 46.741, -85.3369291359 37.0731786554 46.762, -85.3365641256 37.0732355861 46.782, -85.3358398267 37.07336814 46.823, -85.3354843177 37.0734421288 46.844, -85.3347759639 37.073603571 46.884, -85.3340764035 37.0737859139 46.925, -85.3337859548 37.0738705671 46.942, -85.3330429266 37.0741021843 46.986, -85.3327022644 37.0742168661 47.006, -85.3323656746 37.0743389776 47.027, -85.3316982415 37.0745966749 47.068, -85.3314728695 37.0746892456 47.082, -85.3307159245 37.0750158277 47.129, -85.3300766625 37.075321132 47.17, -85.3275418412 37.0766033654 47.336, -85.3247407374 37.0780405734 47.52, -85.3231597685 37.0788318233 47.623, -85.32194719 37.0794563198 47.703, -85.3192498062 37.0808223691 47.879, -85.3180677548 37.0814323826 47.957, -85.316290956 37.082332948 48.073, -85.3151174272 37.082935409 48.15)"
"District 08","Adair","08-22208.00","LN","9008","LN-9008","AM-PAVEMENT (PKY)(P)","48.15","57.791","ADDRESS CONDITION OF Louie B. Nunn Cumberland Parkway FROM MILEPOINT 48.15 TO MILEPOINT 57.791","","2022","2026","D","NHPM","730000","2031","","","","001-LN-9008-000","LINESTRING Z (-85.3151174272 37.082935409 48.15, -85.3148430931 37.0830762423 48.168, -85.3136920074 37.0836547427 48.243, -85.312550645 37.0842088248 48.317, -85.3117022613 37.0846060744 48.371, -85.3105858362 37.0851118929 48.442, -85.3090831773 37.0857689446 48.537, -85.3046606403 37.0877010349 48.815, -85.3043850095 37.0878158833 48.832, -85.3041192732 37.0879384586 48.849, -85.3032967404 37.088297845 48.901, -85.3027409767 37.0885335589 48.936, -85.3016260723 37.0889942548 49.005, -85.3010858869 37.0892031054 49.038, -85.3005426996 37.0893973861 49.071, -85.2999930654 37.0895801027 49.104, -85.2994397681 37.0897444026 49.137, -85.2988951514 37.0898903306 49.168, -85.2986403888 37.0899527881 49.183, -85.2980666597 37.0900933814 49.216, -85.2977858401 37.0901560104 49.232, -85.2972136279 37.0902718871 49.265, -85.296614785 37.0903692562 49.299, -85.2956921211 37.0904961199 49.35, -85.2953768457 37.0905300457 49.368, -85.2947361048 37.0905821984 49.404, -85.2944123415 37.0906023556 49.422, -85.2937700175 37.0906327997 49.457, -85.2931226657 37.0906442689 49.493, -85.2928027904 37.0906452117 49.511, -85.2921596855 37.0906349951 49.546, -85.2918361178 37.0906230119 49.564, -85.2911853071 37.0905836475 49.6, -85.290543489 37.0905314062 49.636, -85.2892411928 37.090395804 49.708, -85.2848442995 37.089897692 49.954, -85.2823042421 37.0896208357 50.095, -85.2765665477 37.0889714555 50.416, -85.2751717197 37.0887847835 50.494, -85.2730885892 37.0884758059 50.611, -85.2727379522 37.0884098273 50.631, -85.2714153913 37.0881835828 50.706, -85.2692016977 37.0877644133 50.831, -85.2680010962 37.0875018295 50.9, -85.2674150864 37.0873612547 50.934, -85.2668464407 37.087239424 50.966, -85.2662710259 37.0871043803 51, -85.2651161806 37.0868202586 51.066, -85.2639409224 37.0865132459 51.135, -85.2627578641 37.0861949266 51.204, -85.2618633943 37.0859404258 51.256, -85.2606737394 37.085584981 51.326, -85.2600787974 37.0853992883 51.362, -85.2580008932 37.0847363128 51.485, -85.2561868736 37.0841428068 51.593, -85.25374817 37.0833603994 51.739, -85.2513095839 37.0825677801 51.884, -85.243037647 37.0799009187 52.377, -85.2417272857 37.0794782874 52.455, -85.2398676905 37.0788697715 52.566, -85.2371559869 37.0780080939 52.727, -85.2350720983 37.0773273781 52.852, -85.2338897337 37.0769469727 52.922, -85.2312118637 37.0760702003 53.082, -85.230014128 37.0756877628 53.153, -85.2282073489 37.0751020924 53.261, -85.2269914953 37.0747170709 53.333, -85.2251550424 37.0741169374 53.443, -85.2222987813 37.0731938382 53.613, -85.220997138 37.0727830978 53.691, -85.220018442 37.0724611513 53.749, -85.2175012062 37.0716460411 53.899, -85.216904171 37.0714477583 53.935, -85.2124371184 37.0700103002 54.201, -85.2098027959 37.0691521857 54.358, -85.2070891581 37.0682746907 54.52, -85.205520293 37.0677773891 54.613, -85.204255868 37.0673641634 54.689, -85.2020329659 37.0666522659 54.821, -85.1991591384 37.0657246685 54.993, -85.1981879429 37.0654333356 55.05, -85.1972997598 37.0651794654 55.102, -85.1962302617 37.0648818807 55.165, -85.1955721413 37.0647092895 55.203, -85.1903250862 37.0633768501 55.507, -85.1891912059 37.0630799903 55.573, -85.1863464865 37.0623763319 55.737, -85.1840311332 37.0617861365 55.872, -85.1834401674 37.0616228666 55.906, -85.182851996 37.0614530154 55.941, -85.1817175955 37.0610970292 56.008, -85.180883262 37.0608062185 56.058, -85.1798002574 37.0604089933 56.124, -85.1792802202 37.0602048513 56.156, -85.1782700531 37.0597857219 56.219, -85.1764118698 37.0589891584 56.336, -85.1750118368 37.0583802178 56.424, -85.174187609 37.0580303587 56.475, -85.1723029329 37.0572143719 56.593, -85.1709981148 37.0566649049 56.675, -85.1688358246 37.0557307554 56.811, -85.1679945749 37.0553739008 56.863, -85.1656636529 37.0543660657 57.01, -85.1635597997 37.0534691875 57.141, -85.1629370653 37.0532199622 57.18, -85.1623032986 37.0529797405 57.219, -85.161662266 37.0527488168 57.257, -85.1610142895 37.0525299398 57.296, -85.157909559 37.0515111651 57.482, -85.156157335 37.0509304167 57.587, -85.1538304418 37.0501852061 57.725, -85.1527295577 37.0498326792 57.791)"
"District 08","Adair","08-22208.00","LN","9008","LN-9008","AM-PAVEMENT (PKY)(P)","48.15","57.791","ADDRESS CONDITION OF Louie B. Nunn Cumberland Parkway FROM MILEPOINT 48.15 TO MILEPOINT 57.791","","2022","2026","C","NHPM","7329876","2031","","","","001-LN-9008-000","LINESTRING Z (-85.3151174272 37.082935409 48.15, -85.3148430931 37.0830762423 48.168, -85.3136920074 37.0836547427 48.243, -85.312550645 37.0842088248 48.317, -85.3117022613 37.0846060744 48.371, -85.3105858362 37.0851118929 48.442, -85.3090831773 37.0857689446 48.537, -85.3046606403 37.0877010349 48.815, -85.3043850095 37.0878158833 48.832, -85.3041192732 37.0879384586 48.849, -85.3032967404 37.088297845 48.901, -85.3027409767 37.0885335589 48.936, -85.3016260723 37.0889942548 49.005, -85.3010858869 37.0892031054 49.038, -85.3005426996 37.0893973861 49.071, -85.2999930654 37.0895801027 49.104, -85.2994397681 37.0897444026 49.137, -85.2988951514 37.0898903306 49.168, -85.2986403888 37.0899527881 49.183, -85.2980666597 37.0900933814 49.216, -85.2977858401 37.0901560104 49.232, -85.2972136279 37.0902718871 49.265, -85.296614785 37.0903692562 49.299, -85.2956921211 37.0904961199 49.35, -85.2953768457 37.0905300457 49.368, -85.2947361048 37.0905821984 49.404, -85.2944123415 37.0906023556 49.422, -85.2937700175 37.0906327997 49.457, -85.2931226657 37.0906442689 49.493, -85.2928027904 37.0906452117 49.511, -85.2921596855 37.0906349951 49.546, -85.2918361178 37.0906230119 49.564, -85.2911853071 37.0905836475 49.6, -85.290543489 37.0905314062 49.636, -85.2892411928 37.090395804 49.708, -85.2848442995 37.089897692 49.954, -85.2823042421 37.0896208357 50.095, -85.2765665477 37.0889714555 50.416, -85.2751717197 37.0887847835 50.494, -85.2730885892 37.0884758059 50.611, -85.2727379522 37.0884098273 50.631, -85.2714153913 37.0881835828 50.706, -85.2692016977 37.0877644133 50.831, -85.2680010962 37.0875018295 50.9, -85.2674150864 37.0873612547 50.934, -85.2668464407 37.087239424 50.966, -85.2662710259 37.0871043803 51, -85.2651161806 37.0868202586 51.066, -85.2639409224 37.0865132459 51.135, -85.2627578641 37.0861949266 51.204, -85.2618633943 37.0859404258 51.256, -85.2606737394 37.085584981 51.326, -85.2600787974 37.0853992883 51.362, -85.2580008932 37.0847363128 51.485, -85.2561868736 37.0841428068 51.593, -85.25374817 37.0833603994 51.739, -85.2513095839 37.0825677801 51.884, -85.243037647 37.0799009187 52.377, -85.2417272857 37.0794782874 52.455, -85.2398676905 37.0788697715 52.566, -85.2371559869 37.0780080939 52.727, -85.2350720983 37.0773273781 52.852, -85.2338897337 37.0769469727 52.922, -85.2312118637 37.0760702003 53.082, -85.230014128 37.0756877628 53.153, -85.2282073489 37.0751020924 53.261, -85.2269914953 37.0747170709 53.333, -85.2251550424 37.0741169374 53.443, -85.2222987813 37.0731938382 53.613, -85.220997138 37.0727830978 53.691, -85.220018442 37.0724611513 53.749, -85.2175012062 37.0716460411 53.899, -85.216904171 37.0714477583 53.935, -85.2124371184 37.0700103002 54.201, -85.2098027959 37.0691521857 54.358, -85.2070891581 37.0682746907 54.52, -85.205520293 37.0677773891 54.613, -85.204255868 37.0673641634 54.689, -85.2020329659 37.0666522659 54.821, -85.1991591384 37.0657246685 54.993, -85.1981879429 37.0654333356 55.05, -85.1972997598 37.0651794654 55.102, -85.1962302617 37.0648818807 55.165, -85.1955721413 37.0647092895 55.203, -85.1903250862 37.0633768501 55.507, -85.1891912059 37.0630799903 55.573, -85.1863464865 37.0623763319 55.737, -85.1840311332 37.0617861365 55.872, -85.1834401674 37.0616228666 55.906, -85.182851996 37.0614530154 55.941, -85.1817175955 37.0610970292 56.008, -85.180883262 37.0608062185 56.058, -85.1798002574 37.0604089933 56.124, -85.1792802202 37.0602048513 56.156, -85.1782700531 37.0597857219 56.219, -85.1764118698 37.0589891584 56.336, -85.1750118368 37.0583802178 56.424, -85.174187609 37.0580303587 56.475, -85.1723029329 37.0572143719 56.593, -85.1709981148 37.0566649049 56.675, -85.1688358246 37.0557307554 56.811, -85.1679945749 37.0553739008 56.863, -85.1656636529 37.0543660657 57.01, -85.1635597997 37.0534691875 57.141, -85.1629370653 37.0532199622 57.18, -85.1623032986 37.0529797405 57.219, -85.161662266 37.0527488168 57.257, -85.1610142895 37.0525299398 57.296, -85.157909559 37.0515111651 57.482, -85.156157335 37.0509304167 57.587, -85.1538304418 37.0501852061 57.725, -85.1527295577 37.0498326792 57.791)"
"District 08","Adair","08-80003.00","KY","55","KY-55","SAFETY(P)","15.9","16.0","KY 55 NEW TURNING LANE AT BETTY'S OK COUNTRY COOKING. (18CCN)(2020CCR) (2022CCR) (2024CCR)","","2018","2026","U","SPP","1880000","2031","","","","001-KY-0055-000","LINESTRING Z (-85.2984212973 37.1339022891 15.9, -85.2991225043 37.1352452831 16)"
"District 08","Adair","08-80003.00","KY","55","KY-55","SAFETY(P)","15.9","16.0","KY 55 NEW TURNING LANE AT BETTY'S OK COUNTRY COOKING. (18CCN)(2020CCR) (2022CCR) (2024CCR)","","2018","2026","D","SPP","450000","2029","","","","001-KY-0055-000","LINESTRING Z (-85.2984212973 37.1339022891 15.9, -85.2991225043 37.1352452831 16)"
"District 08","Adair","08-80003.00","KY","55","KY-55","SAFETY(P)","15.9","16.0","KY 55 NEW TURNING LANE AT BETTY'S OK COUNTRY COOKING. (18CCN)(2020CCR) (2022CCR) (2024CCR)","","2018","2026","C","SPP","4330000","2032","","","","001-KY-0055-000","LINESTRING Z (-85.2984212973 37.1339022891 15.9, -85.2991225043 37.1352452831 16)"
