"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS","RT_UNIQUE","GEOMETRY_WKT"
"District 06","Various","06-08300.00","","","","SPOT IMPROVEMENTS","","","CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN)(2024CCN) (2026CCN)","","2006","2026","D","SPP","1080000","2030","","","","",""
"District 06","Various","06-08300.00","","","","SPOT IMPROVEMENTS","","","CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN)(2024CCN) (2026CCN)","","2006","2026","R","SPP","2900000","2031","","","","",""
"District 06","Various","06-08300.00","","","","SPOT IMPROVEMENTS","","","CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN)(2024CCN) (2026CCN)","","2006","2026","U","SPP","570000","2032","","","","",""
"District 06","Various","06-08300.00","","","","SPOT IMPROVEMENTS","","","CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN)(2024CCN) (2026CCN)","","2006","2026","C","SPP","18250000","2032","","","","",""
"District 06","Various","06-08902.00","","","","CONGESTION MITIGTN(O)","","","Add turn lanes on KY 9 (AA Hwy) at the KY 875 (Mt Zion Road) intersection to improve safety and mobility. (SYP 6-8902) (MP 7.6 to 7.9) (2026CCN)","","2016","2026","D","SPP","20000","2026","","","","",""
"District 06","Various","06-08902.00","","","","CONGESTION MITIGTN(O)","","","Add turn lanes on KY 9 (AA Hwy) at the KY 875 (Mt Zion Road) intersection to improve safety and mobility. (SYP 6-8902) (MP 7.6 to 7.9) (2026CCN)","","2016","2026","U","SPP","120000","2027","","","","",""
"District 06","Various","06-08902.00","","","","CONGESTION MITIGTN(O)","","","Add turn lanes on KY 9 (AA Hwy) at the KY 875 (Mt Zion Road) intersection to improve safety and mobility. (SYP 6-8902) (MP 7.6 to 7.9) (2026CCN)","","2016","2026","C","SPP","170000","2027","","","","",""
"District 06","Various","06-08902.00","","","","CONGESTION MITIGTN(O)","","","Add turn lanes on KY 9 (AA Hwy) at the KY 875 (Mt Zion Road) intersection to improve safety and mobility. (SYP 6-8902) (MP 7.6 to 7.9) (2026CCN)","","2016","2026","R","SPP","20000","2027","","","","",""
"District 06","Boone","06-00079.00","I","75","I-75","CONGESTION MITIGATION","182.978","183.312","IMPROVE SAFETY, MOBILITY, OPERATIONS, AND GEOMETRICS AT THE JUNCTION OF I-75 AND I-275 AND THE SYSTEM-TO-SYSTEM RAMPS. (2024CCR)","","2018","2026","R","NH","20000000","2029","","","","008-I-0075-000","LINESTRING Z (-84.6218763496 39.0182943836 182.978, -84.6194615462 39.0197729463 183.141, -84.6182039659 39.020615995 183.229, -84.6170805982 39.021472107 183.312)"
"District 06","Boone","06-00079.00","I","75","I-75","CONGESTION MITIGATION","182.978","183.312","IMPROVE SAFETY, MOBILITY, OPERATIONS, AND GEOMETRICS AT THE JUNCTION OF I-75 AND I-275 AND THE SYSTEM-TO-SYSTEM RAMPS. (2024CCR)","","2018","2026","U","NH","10000000","2029","","","","008-I-0075-000","LINESTRING Z (-84.6218763496 39.0182943836 182.978, -84.6194615462 39.0197729463 183.141, -84.6182039659 39.020615995 183.229, -84.6170805982 39.021472107 183.312)"
